order Number,ProductID,Discount,Quantity,returnQuantity,returnReason,Compensation Method
28,10,0.05,1,0,,
28,13,0.05,1,0,,
29,130,0.03,3,2,Product is damaged,Refund
29,245,0.03,1,0,,
30,57,0.05,1,1,Order Cancelled,Refund
30,252,0.05,2,0,,
30,75,0.05,3,0,,
31,286,0.05,5,0,,
31,208,0.05,5,5,Order Cancelled,Refund
32,103,0.05,2,2,Order Cancelled,Voucher
32,257,0.05,3,0,,
33,124,0.03,3,0,,
34,264,0.05,1,1,Order Cancelled,Voucher
34,72,0.05,5,0,,
34,15,0.05,5,0,,
34,196,0.05,2,0,,
35,146,0.05,4,0,,
35,226,0.05,1,1,Order Cancelled,Refund
35,149,0.05,5,0,,
35,263,0.05,2,0,,
36,7,0.05,3,0,,
36,217,0.05,2,0,,
36,267,0.05,5,0,,
36,20,0.05,3,0,,
37,60,0.05,3,1,Product doesn't match expectations,Voucher
37,123,0.05,1,1,Order Cancelled,Voucher
37,120,0.05,2,0,,
38,140,0.05,4,0,,
38,277,0.05,4,1,Product is damaged,Voucher
38,118,0.05,3,0,,
38,14,0.05,2,2,Order Cancelled,Refund
39,33,0.05,5,0,,
39,138,0.05,1,0,,
39,79,0.05,4,4,Order Cancelled,Refund
40,235,0.05,1,0,,
40,223,0.05,4,0,,
40,30,0.05,4,2,Product doesn't match expectations,Refund
40,224,0.05,5,0,,
41,41,0.03,3,0,,
41,256,0.03,1,0,,
42,194,0.05,4,0,,
42,175,0.05,5,0,,
42,247,0.05,5,0,,
43,294,0.03,2,2,Order Cancelled,Refund
43,240,0.03,1,0,,
44,83,0.05,4,0,,
44,173,0.05,1,0,,
45,279,0.03,2,0,,
45,234,0.03,1,1,Order Cancelled,Refund
46,244,0.03,3,0,,
47,34,0.03,2,0,,
48,186,0.03,4,4,Order Cancelled,Refund
49,139,0.03,3,0,,
50,71,0.05,3,0,,
50,265,0.05,3,3,Order Cancelled,Refund
50,218,0.05,5,0,,
50,50,0.05,4,0,,
50,91,0.05,5,0,,
51,179,0,1,1,Order Cancelled,Voucher
52,169,0.05,2,0,,
52,239,0.05,4,2,Product doesn't match expectations,Refund
52,275,0.05,2,0,,
53,164,0.05,4,0,,
53,64,0.05,3,2,Product doesn't match expectations,Refund
54,84,0.05,2,0,,
54,148,0.05,4,1,Product doesn't match expectations,Voucher
55,250,0.05,4,0,,
55,210,0.05,1,1,Order Cancelled,Refund
55,214,0.05,5,0,,
56,193,0.05,2,0,,
56,220,0.05,3,0,,
57,81,0.05,1,0,,
57,269,0.05,2,0,,
57,295,0.05,5,3,Other,Voucher
57,280,0.05,5,0,,
57,187,0.05,4,3,Other,Refund
57,115,0.05,1,0,,
57,129,0.05,3,0,,
58,9,0.05,4,0,,
58,31,0.05,2,0,,
59,197,0.05,3,0,,
59,151,0.05,5,3,Product doesn't match expectations,Refund
60,125,0.05,1,1,Order Cancelled,Refund
60,25,0.05,4,0,,
61,127,0.03,4,1,Product is damaged,Voucher
62,297,0.03,4,1,Product doesn't match expectations,Refund
63,43,0.05,3,0,,
63,288,0.05,3,0,,
63,62,0.05,2,0,,
64,284,0.03,2,0,,
65,243,0,1,0,,
66,131,0.05,5,0,,
66,6,0.05,3,2,Other,Refund
66,165,0.05,5,0,,
66,105,0.05,5,0,,
67,228,0.05,4,0,,
67,80,0.05,1,0,,
67,163,0.05,2,0,,
67,168,0.05,1,0,,
67,229,0.05,2,0,,
67,296,0.05,3,0,,
68,44,0.05,4,0,,
68,237,0.05,1,0,,
69,17,0.05,4,3,Product doesn't match expectations,Refund
69,153,0.05,3,0,,
70,122,0.05,2,1,Product is damaged,Voucher
70,119,0.05,1,1,Order Cancelled,Voucher
70,161,0.05,5,5,Order Cancelled,Voucher
71,293,0.05,1,0,,
71,246,0.05,1,0,,
71,298,0.05,3,0,,
71,104,0.05,3,0,,
71,254,0.05,3,0,,
72,232,0.05,1,0,,
72,156,0.05,4,0,,
72,111,0.05,2,0,,
73,27,0.03,4,0,,
74,200,0.03,4,0,,
75,3,0.03,1,0,,
75,162,0.03,1,0,,
76,94,0.03,2,0,,
77,255,0.05,5,0,,
77,114,0.05,3,0,,
77,55,0.05,5,4,Product doesn't match expectations,Voucher
78,291,0.05,2,0,,
78,144,0.05,5,0,,
78,238,0.05,1,0,,
79,206,0.05,1,0,,
79,141,0.05,5,1,Product is damaged,Refund
80,56,0.03,3,2,Other,Voucher
81,116,0.05,5,0,,
81,285,0.05,5,0,,
81,1,0.05,1,0,,
81,5,0.05,3,0,,
81,270,0.05,2,0,,
82,198,0.05,5,0,,
83,176,0.05,5,0,,
83,59,0.05,4,0,,
84,51,0.05,5,2,Product is damaged,Voucher
84,178,0.05,3,0,,
84,110,0.05,1,0,,
85,53,0.05,2,0,,
85,132,0.05,3,3,Order Cancelled,Refund
85,49,0.05,5,0,,
85,46,0.05,4,0,,
85,39,0.05,4,0,,
86,167,0.05,5,0,,
86,29,0.05,3,0,,
86,73,0.05,2,0,,
86,222,0.05,2,0,,
86,100,0.05,1,0,,
87,126,0.05,4,4,Order Cancelled,Refund
87,166,0.05,3,0,,
87,199,0.05,3,0,,
88,251,0.05,2,2,Order Cancelled,Voucher
88,65,0.05,5,0,,
89,145,0.03,2,0,,
90,273,0.05,3,0,,
90,212,0.05,4,0,,
90,58,0.05,2,0,,
91,185,0.05,5,0,,
91,12,0.05,2,0,,
91,35,0.05,2,0,,
91,209,0.05,3,0,,
92,96,0.03,2,0,,
92,184,0.03,1,0,,
93,154,0.05,5,0,,
94,137,0.05,4,0,,
94,276,0.05,3,3,Order Cancelled,Voucher
95,278,0,1,1,Order Cancelled,Refund
96,204,0.05,5,0,,
97,109,0.05,3,0,,
97,260,0.05,1,0,,
97,2,0.05,1,0,,
98,67,0.03,2,0,,
99,195,0.03,4,0,,
100,189,0.05,5,3,Other,Refund
101,233,0.05,5,0,,
101,42,0.05,1,0,,
102,23,0.05,2,0,,
102,69,0.05,4,0,,
103,108,0.05,1,1,Order Cancelled,Refund
103,152,0.05,5,0,,
103,68,0.05,3,0,,
104,261,0.05,4,0,,
104,48,0.05,4,0,,
104,174,0.05,4,0,,
105,170,0.03,4,1,Product doesn't match expectations,Voucher
106,28,0.05,2,2,Order Cancelled,Refund
106,191,0.05,4,0,,
107,202,0.03,4,0,,
108,101,0.03,2,0,,
109,272,0.05,4,0,,
109,155,0.05,3,0,,
110,182,0.03,1,0,,
110,54,0.03,1,0,,
111,61,0.05,5,0,,
112,78,0.05,5,0,,
112,90,0.05,2,0,,
112,281,0.05,3,0,,
113,45,0.05,2,0,,
113,92,0.05,2,0,,
113,97,0.05,4,0,,
114,290,0.05,2,0,,
114,113,0.05,5,0,,
115,19,0,1,0,,
116,299,0.05,3,0,,
116,52,0.05,3,0,,
116,4,0.05,3,0,,
117,99,0.05,5,0,,
117,158,0.05,4,4,Order Cancelled,Voucher
117,47,0.05,3,3,Order Cancelled,Voucher
118,40,0.05,3,3,Order Cancelled,Refund
118,24,0.05,4,0,,
119,159,0.03,3,0,,
120,227,0.05,5,0,,
120,283,0.05,4,0,,
120,221,0.05,3,3,Order Cancelled,Refund
120,215,0.05,5,0,,
120,70,0.05,5,5,Order Cancelled,Refund
120,160,0.05,3,0,,
121,107,0.05,2,1,Product doesn't match expectations,Refund
121,171,0.05,4,0,,
121,88,0.05,3,0,,
121,266,0.05,5,0,,
121,216,0.05,5,0,,
122,98,0.05,3,1,Product is damaged,Voucher
122,231,0.05,1,0,,
122,211,0.05,4,0,,
123,76,0.05,5,0,,
123,147,0.05,1,0,,
123,271,0.05,3,0,,
124,259,0.05,1,1,Order Cancelled,Voucher
124,201,0.05,5,5,Order Cancelled,Voucher
124,203,0.05,1,0,,
124,292,0.05,4,0,,
125,36,0.05,4,0,,
125,208,0.05,1,0,,
126,87,0.05,1,0,,
126,1,0.05,1,0,,
126,67,0.05,3,0,,
127,85,0.03,3,0,,
128,185,0,1,0,,
129,278,0.05,2,0,,
129,268,0.05,3,1,Other,Voucher
129,246,0.05,3,0,,
130,264,0.05,2,0,,
130,200,0.05,5,0,,
130,166,0.05,2,0,,
131,255,0.05,4,0,,
131,102,0.05,3,0,,
132,127,0.05,5,0,,
132,5,0.05,4,0,,
133,283,0.05,1,1,Order Cancelled,Refund
133,94,0.05,2,0,,
133,14,0.05,4,0,,
134,168,0.05,4,2,Product doesn't match expectations,Refund
134,288,0.05,5,0,,
134,2,0.05,2,0,,
134,197,0.05,2,0,,
134,244,0.05,2,0,,
135,262,0.03,3,0,,
136,199,0.05,1,0,,
136,124,0.05,4,0,,
137,70,0.05,3,0,,
137,49,0.05,1,0,,
137,126,0.05,4,0,,
137,156,0.05,3,0,,
138,228,0,1,0,,
139,281,0.05,1,0,,
139,115,0.05,1,1,Order Cancelled,Voucher
139,90,0.05,2,0,,
139,59,0.05,4,1,Other,Refund
139,241,0.05,1,0,,
140,136,0.05,1,0,,
140,198,0.05,4,0,,
140,183,0.05,4,0,,
141,263,0.05,5,0,,
142,254,0.05,3,0,,
142,219,0.05,5,0,,
142,257,0.05,3,0,,
142,184,0.05,2,0,,
143,167,0.05,1,0,,
143,260,0.05,5,0,,
143,42,0.05,3,0,,
144,141,0.03,2,0,,
144,58,0.03,1,0,,
145,225,0.05,4,0,,
145,177,0.05,5,0,,
145,155,0.05,3,3,Order Cancelled,Refund
145,258,0.05,1,1,Order Cancelled,Refund
146,34,0.05,3,1,Product is damaged,Refund
146,192,0.05,5,0,,
147,210,0.03,1,1,Order Cancelled,Voucher
147,238,0.03,1,1,Order Cancelled,Voucher
148,39,0.05,4,0,,
148,81,0.05,4,0,,
148,118,0.05,2,1,Product doesn't match expectations,Refund
149,216,0.05,2,0,,
149,206,0.05,3,0,,
150,169,0,1,0,,
151,159,0,1,0,,
152,186,0.05,3,3,Order Cancelled,Refund
152,235,0.05,5,0,,
152,57,0.05,2,0,,
153,131,0,1,0,,
154,157,0.03,3,0,,
155,187,0.05,5,4,Other,Refund
155,95,0.05,1,0,,
155,234,0.05,3,0,,
155,196,0.05,2,0,,
156,214,0.05,4,0,,
156,10,0.05,3,0,,
156,113,0.05,1,1,Order Cancelled,Voucher
157,237,0.03,3,0,,
158,146,0.05,5,3,Product doesn't match expectations,Refund
159,236,0,1,0,,
160,19,0.05,4,0,,
160,299,0.05,1,0,,
161,26,0.03,2,0,,
162,286,0.03,2,0,,
162,144,0.03,2,0,,
163,220,0.05,5,0,,
163,66,0.05,3,0,,
163,158,0.05,1,1,Order Cancelled,Refund
164,245,0.03,4,0,,
165,65,0.05,3,0,,
165,134,0.05,5,0,,
166,83,0.05,5,0,,
166,153,0.05,5,0,,
167,224,0.05,4,0,,
167,40,0.05,1,0,,
168,121,0.05,5,0,,
169,269,0.05,3,1,Product doesn't match expectations,Voucher
169,125,0.05,4,0,,
169,277,0.05,3,0,,
170,137,0.05,5,0,,
170,71,0.05,3,0,,
170,100,0.05,1,0,,
171,46,0.05,5,4,Other,Refund
172,248,0,1,0,,
173,232,0,1,1,Order Cancelled,Voucher
174,111,0.05,3,0,,
174,37,0.05,3,0,,
174,222,0.05,3,0,,
175,52,0.05,5,0,,
175,84,0.05,4,0,,
175,223,0.05,5,0,,
176,242,0.03,4,0,,
177,23,0.03,4,0,,
178,82,0.05,5,4,Product is damaged,Voucher
178,212,0.05,1,0,,
179,161,0.03,3,1,Product is damaged,Voucher
180,38,0.05,1,0,,
180,13,0.05,4,0,,
180,25,0.05,3,0,,
181,175,0.05,1,0,,
181,123,0.05,5,0,,
182,289,0,1,0,,
183,266,0.03,1,1,Order Cancelled,Voucher
183,173,0.03,3,3,Order Cancelled,Voucher
184,176,0.05,4,0,,
184,250,0.05,5,5,Order Cancelled,Refund
185,284,0.05,3,0,,
185,4,0.05,4,0,,
186,163,0.03,2,0,,
186,298,0.03,2,0,,
187,91,0.03,1,0,,
187,116,0.03,3,0,,
188,104,0.05,5,0,,
188,54,0.05,2,0,,
189,205,0.05,2,0,,
189,160,0.05,5,5,Order Cancelled,Voucher
189,11,0.05,2,2,Order Cancelled,Voucher
190,61,0,1,0,,
191,297,0.05,3,0,,
191,8,0.05,1,0,,
191,204,0.05,2,1,Product doesn't match expectations,Voucher
191,282,0.05,1,0,,
191,188,0.05,1,0,,
192,149,0.05,5,0,,
192,143,0.05,4,3,Other,Refund
193,251,0.03,2,0,,
194,119,0.03,2,0,,
195,201,0.03,2,0,,
196,203,0.03,2,2,Order Cancelled,Voucher
197,133,0.05,3,0,,
197,267,0.05,3,0,,
198,55,0.03,4,0,,
199,74,0.05,2,0,,
199,96,0.05,5,1,Product is damaged,Voucher
200,41,0.05,3,0,,
200,151,0.05,4,0,,
200,22,0.05,1,0,,
201,275,0.03,4,0,,
202,109,0.03,4,0,,
203,80,0.05,4,1,Product is damaged,Voucher
203,296,0.05,3,0,,
204,239,0.05,5,0,,
204,182,0.05,1,0,,
204,202,0.05,4,2,Product doesn't match expectations,Voucher
204,179,0.05,5,4,Other,Voucher
205,207,0.05,2,0,,
205,259,0.05,5,0,,
205,101,0.05,1,0,,
205,60,0.05,1,0,,
205,28,0.05,5,0,,
206,147,0.05,5,0,,
206,114,0.05,4,1,Other,Voucher
207,62,0.03,3,0,,
208,86,0.03,2,0,,
209,140,0.03,2,0,,
210,231,0.05,5,0,,
211,75,0.05,5,0,,
212,287,0.05,3,3,Order Cancelled,Voucher
212,97,0.05,3,0,,
212,56,0.05,4,0,,
212,33,0.05,1,1,Order Cancelled,Voucher
213,92,0.05,4,0,,
213,230,0.05,2,0,,
213,294,0.05,5,0,,
213,135,0.05,2,1,Other,Voucher
213,227,0.05,5,0,,
214,211,0.05,2,0,,
214,138,0.05,4,0,,
215,270,0.03,3,2,Other,Refund
216,107,0.05,3,0,,
216,64,0.05,2,0,,
216,215,0.05,4,1,Product doesn't match expectations,Voucher
216,47,0.05,2,0,,
217,98,0.05,4,0,,
217,191,0.05,5,0,,
217,30,0.05,4,1,Other,Voucher
217,229,0.05,3,3,Order Cancelled,Voucher
217,290,0.05,4,0,,
218,226,0,1,1,Order Cancelled,Voucher
219,221,0.05,4,0,,
219,178,0.05,1,0,,
220,217,0.03,3,0,,
221,12,0.05,2,1,Product is damaged,Refund
221,174,0.05,4,0,,
221,292,0.05,4,0,,
221,252,0.05,2,0,,
221,53,0.05,3,0,,
221,21,0.05,3,0,,
222,129,0.05,2,0,,
222,164,0.05,5,0,,
222,17,0.05,4,0,,
222,285,0.05,2,1,Product doesn't match expectations,Voucher
223,276,0.05,5,0,,
223,172,0.05,3,3,Order Cancelled,Voucher
223,261,0.05,5,0,,
223,272,0.05,2,0,,
224,122,0.05,2,0,,
224,3,0.05,4,0,,
225,63,0.05,1,1,Order Cancelled,Refund
225,9,0.05,1,0,,
225,295,0.05,5,0,,
226,274,0.05,5,0,,
226,139,0.05,4,0,,
226,18,0.05,1,0,,
226,181,0.05,2,2,Order Cancelled,Voucher
227,32,0.03,4,2,Other,Refund
228,279,0.03,1,0,,
228,130,0.03,1,0,,
229,93,0.05,4,0,,
229,44,0.05,1,1,Order Cancelled,Voucher
229,68,0.05,4,0,,
229,45,0.05,2,0,,
229,7,0.05,2,0,,
230,36,0.05,1,0,,
230,218,0.05,5,1,Product is damaged,Voucher
231,106,0.05,2,2,Order Cancelled,Voucher
231,78,0.05,2,0,,
231,209,0.05,1,0,,
231,243,0.05,2,0,,
231,89,0.05,2,1,Product is damaged,Refund
232,88,0.05,3,0,,
232,48,0.05,5,0,,
233,195,0.05,5,0,,
234,170,0.03,4,0,,
235,152,0.05,1,1,Order Cancelled,Refund
235,293,0.05,2,0,,
235,128,0.05,4,0,,
235,27,0.05,5,0,,
235,240,0.05,3,1,Product doesn't match expectations,Refund
236,20,0.05,3,0,,
236,280,0.05,5,0,,
237,29,0.05,3,0,,
237,76,0.05,1,0,,
237,180,0.05,4,0,,
238,31,0.03,3,0,,
239,145,0.03,4,0,,
240,273,0.05,1,0,,
240,165,0.05,5,2,Other,Voucher
240,171,0.05,4,0,,
241,51,0.05,5,1,Product is damaged,Refund
242,117,0.05,5,0,,
243,16,0.05,5,0,,
243,253,0.05,2,0,,
243,154,0.05,2,0,,
244,50,0.05,4,3,Product is damaged,Voucher
244,193,0.05,3,0,,
245,77,0.05,3,0,,
245,99,0.05,1,0,,
245,35,0.05,1,0,,
245,72,0.05,1,1,Order Cancelled,Refund
246,249,0.03,2,0,,
247,190,0.03,2,1,Product is damaged,Refund
248,271,0.03,4,0,,
249,291,0.05,5,1,Other,Voucher
249,265,0.05,3,0,,
249,256,0.05,1,0,,
249,6,0.05,2,0,,
250,150,0.05,1,0,,
250,148,0.05,3,0,,
250,73,0.05,5,0,,
251,110,0.05,3,0,,
251,43,0.05,3,0,,
251,24,0.05,5,0,,
252,189,0.05,4,0,,
252,233,0.05,5,0,,
252,247,0.05,4,0,,
253,112,0.05,2,0,,
253,194,0.05,5,0,,
254,103,0.03,3,0,,
255,120,0.05,3,3,Order Cancelled,Voucher
255,132,0.05,1,0,,
255,79,0.05,3,0,,
256,142,0.05,5,0,,
257,69,0.05,5,0,,
258,15,0.05,3,0,,
258,108,0.05,3,0,,
259,162,0.05,4,2,Product is damaged,Refund
259,213,0.05,2,0,,
260,105,0.03,1,0,,
260,243,0.03,1,0,,
261,22,0.05,3,0,,
261,71,0.05,1,0,,
261,75,0.05,4,0,,
262,14,0.05,1,0,,
262,1,0.05,2,0,,
262,231,0.05,4,0,,
262,172,0.05,1,0,,
262,86,0.05,3,0,,
263,217,0.05,1,0,,
263,125,0.05,5,0,,
263,184,0.05,5,0,,
263,237,0.05,1,0,,
263,51,0.05,3,3,Order Cancelled,Voucher
264,268,0.05,5,0,,
265,291,0.03,4,0,,
266,240,0.03,3,0,,
267,293,0.03,2,0,,
268,259,0.03,1,0,,
268,162,0.03,2,2,Order Cancelled,Voucher
269,245,0.03,3,1,Product is damaged,Refund
270,8,0.03,1,0,,
270,23,0.03,3,0,,
271,98,0.05,5,1,Other,Refund
271,220,0.05,2,0,,
271,223,0.05,5,3,Product is damaged,Voucher
272,244,0.03,4,4,Order Cancelled,Voucher
273,164,0.03,2,2,Order Cancelled,Voucher
273,38,0.03,1,1,Order Cancelled,Voucher
274,201,0.05,5,0,,
275,128,0.03,2,1,Product doesn't match expectations,Voucher
276,195,0.05,3,0,,
276,9,0.05,2,2,Order Cancelled,Refund
276,92,0.05,4,0,,
277,191,0.05,3,0,,
277,221,0.05,3,0,,
277,205,0.05,5,0,,
277,48,0.05,1,0,,
278,235,0.03,2,1,Other,Refund
279,214,0.05,2,0,,
279,242,0.05,5,0,,
279,251,0.05,3,0,,
280,90,0.05,5,0,,
280,121,0.05,5,5,Order Cancelled,Refund
280,229,0.05,4,0,,
280,170,0.05,5,0,,
281,43,0.05,1,0,,
281,211,0.05,5,0,,
282,157,0.05,4,0,,
282,224,0.05,2,0,,
282,34,0.05,1,0,,
282,194,0.05,4,0,,
282,169,0.05,4,0,,
282,69,0.05,1,0,,
282,40,0.05,1,1,Order Cancelled,Refund
282,41,0.05,3,0,,
283,297,0.05,1,0,,
283,263,0.05,3,0,,
283,130,0.05,3,0,,
283,256,0.05,3,0,,
283,163,0.05,4,0,,
284,30,0.05,5,0,,
284,60,0.05,3,0,,
285,62,0.05,1,0,,
285,31,0.05,4,0,,
286,74,0.03,3,0,,
287,188,0.05,5,0,,
287,208,0.05,1,0,,
288,105,0.05,4,0,,
288,46,0.05,5,4,Product doesn't match expectations,Voucher
288,106,0.05,5,3,Other,Voucher
288,83,0.05,1,0,,
289,28,0.05,4,0,,
289,213,0.05,3,0,,
290,273,0.05,5,0,,
290,6,0.05,2,0,,
290,252,0.05,5,4,Other,Voucher
291,135,0.05,4,0,,
291,10,0.05,5,0,,
292,212,0,1,0,,
293,176,0.03,3,0,,
294,80,0.05,5,0,,
294,79,0.05,2,0,,
294,230,0.05,2,1,Product is damaged,Voucher
294,103,0.05,3,0,,
295,280,0.05,1,0,,
295,57,0.05,5,0,,
296,161,0.05,5,0,,
296,186,0.05,5,0,,
297,192,0,1,0,,
298,258,0.05,1,0,,
298,15,0.05,4,0,,
299,207,0.05,4,0,,
299,289,0.05,3,2,Product doesn't match expectations,Refund
300,179,0.05,3,0,,
300,141,0.05,4,0,,
300,282,0.05,5,1,Other,Refund
301,64,0.05,3,2,Other,Refund
301,267,0.05,2,0,,
302,59,0,1,0,,
303,77,0.03,4,0,,
304,269,0.05,1,0,,
304,58,0.05,5,5,Order Cancelled,Refund
305,99,0.03,3,0,,
306,178,0.05,5,0,,
306,7,0.05,2,0,,
306,199,0.05,2,2,Order Cancelled,Voucher
307,132,0.05,2,2,Order Cancelled,Voucher
307,84,0.05,2,2,Order Cancelled,Refund
307,2,0.05,2,0,,
307,111,0.05,1,0,,
308,32,0.03,3,0,,
309,96,0.05,2,0,,
309,204,0.05,4,4,Order Cancelled,Voucher
310,3,0.05,4,0,,
310,94,0.05,1,0,,
311,185,0.05,1,0,,
311,55,0.05,4,3,Product is damaged,Refund
311,298,0.05,4,1,Product is damaged,Refund
311,13,0.05,2,1,Product doesn't match expectations,Refund
312,19,0.05,4,0,,
312,45,0.05,3,0,,
313,295,0.03,4,0,,
314,173,0.05,2,0,,
314,119,0.05,3,2,Product doesn't match expectations,Voucher
314,197,0.05,1,0,,
314,143,0.05,1,1,Order Cancelled,Voucher
315,202,0.05,1,0,,
315,152,0.05,3,2,Other,Voucher
315,144,0.05,3,0,,
315,4,0.05,2,0,,
316,182,0.05,3,0,,
316,283,0.05,3,0,,
316,193,0.05,4,0,,
317,218,0.03,3,0,,
318,25,0.03,4,0,,
319,278,0.05,5,0,,
320,187,0.03,3,0,,
321,56,0.03,3,0,,
322,89,0.03,2,0,,
322,241,0.03,2,0,,
323,147,0.03,4,0,,
324,65,0,1,0,,
325,233,0.03,4,2,Product is damaged,Refund
326,24,0.03,4,0,,
327,109,0.03,2,0,,
328,127,0.05,5,0,,
328,260,0.05,3,1,Product doesn't match expectations,Refund
329,87,0.05,4,0,,
329,271,0.05,3,0,,
330,222,0.05,4,1,Other,Refund
330,17,0.05,5,0,,
331,134,0.05,4,0,,
331,70,0.05,2,0,,
332,285,0.05,5,0,,
332,26,0.05,1,0,,
333,238,0.05,4,4,Order Cancelled,Refund
333,112,0.05,4,0,,
334,35,0.03,3,0,,
335,150,0.03,2,0,,
335,206,0.03,1,0,,
336,129,0.05,5,0,,
337,219,0.03,4,0,,
338,270,0.05,4,4,Order Cancelled,Refund
338,261,0.05,1,0,,
338,288,0.05,3,0,,
339,299,0.05,5,0,,
339,216,0.05,2,1,Other,Voucher
339,5,0.05,3,3,Order Cancelled,Refund
339,249,0.05,5,0,,
339,262,0.05,2,0,,
340,287,0.03,4,0,,
341,49,0.05,2,0,,
341,284,0.05,4,2,Other,Voucher
342,140,0.03,4,0,,
343,101,0.05,4,3,Product is damaged,Refund
343,93,0.05,1,0,,
343,16,0.05,4,0,,
344,294,0.05,3,1,Product doesn't match expectations,Refund
344,292,0.05,5,0,,
344,253,0.05,2,0,,
345,117,0.05,5,0,,
346,44,0.03,2,0,,
347,126,0.05,5,0,,
348,272,0.05,5,0,,
349,177,0.05,4,0,,
349,118,0.05,4,0,,
349,166,0.05,1,1,Order Cancelled,Voucher
350,95,0.05,3,0,,
350,265,0.05,5,0,,
351,81,0.03,2,0,,
352,296,0.05,2,0,,
352,139,0.05,5,0,,
352,136,0.05,5,0,,
352,215,0.05,5,0,,
353,232,0.05,2,0,,
353,264,0.05,2,0,,
353,146,0.05,3,3,Order Cancelled,Voucher
353,122,0.05,4,0,,
354,36,0.05,3,0,,
354,181,0.05,4,0,,
355,190,0.05,5,2,Product doesn't match expectations,Refund
356,102,0.05,5,0,,
357,227,0,1,1,Order Cancelled,Refund
358,189,0.05,3,1,Product doesn't match expectations,Refund
358,248,0.05,5,0,,
358,61,0.05,4,2,Other,Voucher
359,225,0.05,2,0,,
359,279,0.05,1,0,,
359,274,0.05,2,0,,
360,114,0.05,5,0,,
360,50,0.05,3,0,,
360,158,0.05,4,0,,
360,168,0.05,1,0,,
361,226,0.05,4,0,,
361,67,0.05,5,0,,
361,234,0.05,4,0,,
362,12,0.05,2,0,,
362,37,0.05,3,0,,
362,142,0.05,4,0,,
362,63,0.05,2,0,,
362,100,0.05,1,0,,
363,115,0.03,3,0,,
364,107,0.05,4,1,Product doesn't match expectations,Voucher
364,52,0.05,3,0,,
365,246,0.05,5,3,Other,Voucher
366,42,0.05,4,2,Product is damaged,Voucher
366,165,0.05,3,0,,
367,257,0.05,1,0,,
367,239,0.05,2,0,,
367,29,0.05,3,0,,
368,20,0.03,1,0,,
368,171,0.03,3,0,,
369,198,0.05,3,0,,
369,21,0.05,4,2,Other,Voucher
369,290,0.05,1,0,,
369,183,0.05,5,0,,
370,76,0.05,5,0,,
370,113,0.05,3,3,Order Cancelled,Refund
371,88,0.03,2,1,Other,Voucher
372,200,0.03,3,0,,
372,133,0.03,1,0,,
373,85,0.03,2,0,,
374,153,0.05,5,5,Order Cancelled,Refund
374,151,0.05,3,0,,
375,156,0.03,2,0,,
376,250,0.03,2,1,Product doesn't match expectations,Voucher
377,149,0,1,0,,
378,131,0.03,3,0,,
379,137,0.03,3,2,Product is damaged,Refund
379,286,0.03,1,0,,
380,97,0.03,2,0,,
381,145,0.05,5,0,,
382,91,0.05,5,0,,
383,120,0.05,5,0,,
384,33,0.03,2,0,,
385,73,0.05,5,3,Product doesn't match expectations,Refund
386,180,0.05,1,0,,
386,203,0.05,4,0,,
387,27,0.05,5,2,Other,Refund
387,174,0.05,2,0,,
387,78,0.05,1,0,,
387,11,0.05,4,3,Product doesn't match expectations,Refund
388,255,0.03,2,0,,
389,72,0.05,4,0,,
389,116,0.05,5,0,,
